Gait Up - Physilog data export
Created on: 2020-07-20 10:39:04
Total data points: 10810

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
68.06250,1.00708,-1.58691,0.85449,0.09175,0.90259,0.33789,,0.19706,-0.50225,0.24047,0.80690,
68.07031,1.12915,-1.64795,0.57983,0.08586,0.90210,0.33205,,0.19706,-0.50210,0.24056,0.80697,
68.07813,1.34277,-1.61743,0.33569,0.08096,0.90994,0.33351,,0.19709,-0.50195,0.24066,0.80702,
68.08594,1.37329,-1.77002,0.27466,0.08145,0.91068,0.32937,,0.19712,-0.50180,0.24076,0.80708,
68.09375,0.85449,-1.64795,0.33569,0.07581,0.91387,0.33862,,0.19713,-0.50166,0.24083,0.80714,
68.10156,0.21362,-2.53296,0.12207,0.07826,0.91019,0.33302,,0.19714,-0.50148,0.24085,0.80724,
68.10938,0.39673,-3.05176,-0.03052,0.08096,0.90872,0.32791,,0.19718,-0.50127,0.24087,0.80736,
68.11719,0.79346,-3.99780,-0.51880,0.08513,0.90578,0.31963,,0.19727,-0.50102,0.24088,0.80749,
68.12500,0.33569,-4.08936,-0.61035,0.08415,0.90455,0.32815,,0.19735,-0.50077,0.24086,0.80763,
68.13281,-0.03052,-4.24194,-0.70190,0.08292,0.90185,0.32718,,0.19743,-0.50051,0.24081,0.80779,
68.14063,-0.15259,-4.39453,-0.42725,0.07434,0.89866,0.33205,,0.19749,-0.50024,0.24077,0.80795,
68.14844,0.18311,-5.31006,-0.42725,0.07262,0.90038,0.32718,,0.19758,-0.49992,0.24073,0.80814,
68.15625,0.30518,-5.37109,-0.45776,0.07532,0.90578,0.32280,,0.19767,-0.49960,0.24070,0.80833,
68.16406,0.06104,-5.58472,-0.54932,0.07458,0.90455,0.32474,,0.19777,-0.49927,0.24064,0.80853,
68.17188,0.09155,-5.70679,-0.79346,0.07090,0.90357,0.34178,,0.19788,-0.49893,0.24058,0.80872,
68.17969,0.18311,-6.07300,-0.79346,0.06477,0.90259,0.34130,,0.19800,-0.49857,0.24052,0.80893,
68.18750,0.79346,-7.41577,-0.73242,0.07164,0.89327,0.33180,,0.19816,-0.49813,0.24047,0.80918,
68.19531,0.82397,-7.84302,-0.79346,0.08194,0.89253,0.33205,,0.19833,-0.49767,0.24042,0.80944,
68.20313,0.18311,-7.78198,-0.97656,0.08856,0.89817,0.33132,,0.19849,-0.49722,0.24033,0.80970,
68.21094,0.03052,-7.62939,-1.19019,0.09371,0.89597,0.33448,,0.19866,-0.49678,0.24022,0.80996,
68.21875,0.42725,-7.93457,-1.52588,0.09371,0.89351,0.33545,,0.19886,-0.49633,0.24013,0.81022,
68.22656,1.67847,-8.63647,-2.07520,0.09249,0.88567,0.33302,,0.19914,-0.49583,0.24007,0.81047,
68.23438,2.13623,-9.06372,-2.31934,0.09494,0.88665,0.32815,,0.19946,-0.49530,0.24002,0.81073,
68.24219,2.44141,-9.33838,-2.68555,0.09690,0.88812,0.32547,,0.19982,-0.49477,0.23997,0.81098,
68.25000,2.53296,-9.49097,-3.05176,0.09960,0.89229,0.32377,,0.20020,-0.49422,0.23992,0.81124,
68.25781,2.44141,-9.49097,-3.11279,0.09764,0.89670,0.32182,,0.20058,-0.49368,0.23985,0.81149,
68.26563,2.16675,-9.46045,-3.32642,0.10548,0.90259,0.31768,,0.20096,-0.49315,0.23977,0.81174,
68.27344,1.92261,-9.03320,-3.47900,0.10499,0.91092,0.31768,,0.20134,-0.49265,0.23967,0.81198,
68.28125,1.89209,-8.66699,-3.47900,0.10009,0.91411,0.31963,,0.20171,-0.49216,0.23958,0.81221,
68.28906,1.83105,-8.75854,-3.50952,0.09788,0.92000,0.31914,,0.20208,-0.49168,0.23948,0.81244,
68.29688,2.04468,-8.97217,-3.44849,0.09322,0.91362,0.32182,,0.20245,-0.49117,0.23939,0.81268,
68.30469,2.38037,-9.36890,-3.44849,0.09886,0.90921,0.32109,,0.20285,-0.49065,0.23932,0.81292,
68.31250,2.38037,-9.39941,-3.38745,0.09616,0.90504,0.32036,,0.20324,-0.49011,0.23924,0.81317,
68.32031,2.44141,-9.42993,-3.54004,0.09813,0.90627,0.31720,,0.20364,-0.48958,0.23917,0.81341,
68.32813,2.44141,-9.18579,-3.57056,0.09298,0.90553,0.32109,,0.20405,-0.48906,0.23909,0.81364,
68.33594,2.28882,-9.09424,-3.47900,0.09052,0.89744,0.32401,,0.20443,-0.48855,0.23902,0.81388,
68.34375,2.04468,-9.24683,-3.57056,0.08807,0.89033,0.33180,,0.20482,-0.48803,0.23892,0.81412,
68.35156,2.44141,-10.16235,-3.87573,0.09960,0.88297,0.33424,,0.20526,-0.48746,0.23882,0.81438,
68.35938,2.92969,-10.71167,-4.27246,0.10205,0.88395,0.33302,,0.20574,-0.48686,0.23872,0.81464,
68.36719,3.60107,-10.68115,-4.51660,0.10107,0.87880,0.32815,,0.20626,-0.48626,0.23866,0.81489,
68.37500,3.93677,-10.65063,-4.48608,0.09224,0.88542,0.33472,,0.20678,-0.48565,0.23862,0.81514,
68.38281,4.30298,-10.80322,-4.39453,0.08979,0.88738,0.32913,,0.20732,-0.48503,0.23859,0.81538,
68.39063,4.05884,-11.04736,-4.57764,0.09764,0.89842,0.33497,,0.20786,-0.48440,0.23855,0.81563,
68.39844,3.11279,-11.13892,-4.54712,0.10352,0.90430,0.33424,,0.20837,-0.48377,0.23845,0.81590,
68.40625,2.04468,-10.25391,-4.30298,0.10352,0.89719,0.33107,,0.20881,-0.48321,0.23831,0.81616,
68.41406,2.04468,-9.85718,-4.24194,0.10450,0.89229,0.32620,,0.20925,-0.48267,0.23818,0.81640,
68.42188,3.14331,-9.55200,-4.18091,0.09813,0.89450,0.33521,,0.20971,-0.48212,0.23812,0.81662,
68.42969,3.84521,-10.37598,-3.81470,0.09739,0.90627,0.33375,,0.21019,-0.48152,0.23810,0.81686,
68.43750,3.84521,-10.46753,-3.78418,0.10082,0.91043,0.32693,,0.21067,-0.48091,0.23808,0.81711,
68.44531,3.38745,-10.25391,-4.02832,0.10058,0.91681,0.32523,,0.21114,-0.48032,0.23802,0.81735,
68.45313,2.83813,-10.55908,-4.42505,0.09935,0.91460,0.32937,,0.21163,-0.47973,0.23792,0.81760,
68.46094,2.77710,-10.71167,-4.60815,0.10009,0.91313,0.33059,,0.21212,-0.47913,0.23781,0.81785,
